Customer ID,Referred a Friend,Number of Referrals,Satisfaction Score,Customer Status,Churn Reason,Churn Category
2454-RPBRZ,Yes,1,3,Churned,Service dissatisfaction,Dissatisfaction
2265-CYWIV,Yes,1,1,Churned,Network reliability,Dissatisfaction
4550-VBOFE,Yes,1,1,Churned,Competitor had better devices,Competitor
7409-KIUTL,No,0,3,Churned,Competitor made better offer,Competitor
1732-VHUBQ,Yes,1,3,Churned,Competitor made better offer,Competitor
0679-IDSTG,Yes,1,1,Churned,Competitor had better devices,Competitor
8802-UNOJF,No,0,1,Churned,Competitor had better devices,Competitor
6313-GIDIT,No,0,2,Churned,Price too high,Price
2845-AFFTX,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
2815-CPTUL,No,0,2,Churned,Price too high,Price
1891-FZYSA,Yes,1,1,Churned,Competitor had better devices,Competitor
9685-WKZGT,No,0,3,Churned,Extra data charges,Price
6022-UGGSO,No,0,1,Churned,Competitor had better devices,Competitor
3923-CSIHK,Yes,1,3,Churned,Poor expertise of online support,Other
3677-IYRBF,No,0,1,Churned,Attitude of support person,Attitude
8118-LSUEL,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
5277-ZLOOR,No,0,3,Churned,Network reliability,Dissatisfaction
4248-HCETZ,Yes,1,3,Churned,Attitude of support person,Attitude
9174-FKWZE,No,0,1,Churned,Limited range of services,Dissatisfaction
5307-DZCVC,No,0,3,Churned,Extra data charges,Price
8679-JOEVF,No,0,1,Churned,Price too high,Price
4803-AXVYP,No,0,1,Churned,Service dissatisfaction,Dissatisfaction
5649-ANRML,No,0,3,Churned,Poor expertise of online support,Other
7395-IGJOS,Yes,1,2,Churned,Competitor made better offer,Competitor
7890-VYYWG,Yes,1,1,Churned,Competitor had better devices,Competitor
9907-SWKKF,No,0,1,Churned,Competitor had better devices,Competitor
6397-JNZZG,Yes,1,1,Churned,Competitor had better devices,Competitor
7779-LGOVN,Yes,2,1,Churned,Limited range of services,Dissatisfaction
9710-ZUSHQ,No,0,1,Churned,Lack of affordable download/upload speed,Price
3902-FOIGH,Yes,1,1,Churned,Product dissatisfaction,Dissatisfaction
3318-OSATS,No,0,2,Churned,Don't know,Other
2636-ALXXZ,No,0,2,Churned,Poor expertise of online support,Dissatisfaction
9885-CSMWE,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
8058-JMEQO,No,0,3,Churned,Competitor made better offer,Competitor
7657-DYEPJ,No,0,3,Churned,Lack of affordable download/upload speed,Price
8276-MQBYC,No,0,2,Churned,Long distance charges,Price
6015-VVHHE,No,0,3,Churned,Service dissatisfaction,Dissatisfaction
2516-VQRRV,No,0,3,Churned,Long distance charges,Price
7580-UGXNC,No,0,1,Churned,Extra data charges,Price
5178-LMXOP,Yes,1,1,Churned,Price too high,Price
7056-IMHCC,Yes,1,1,Churned,Price too high,Price
8749-JMNKX,Yes,1,1,Churned,Limited range of services,Dissatisfaction
0917-EZOLA,No,0,3,Churned,Extra data charges,Price
8414-MYSHR,No,0,1,Churned,Network reliability,Dissatisfaction
4988-IQIGL,No,0,3,Churned,Attitude of support person,Attitude
4706-AXVKM,No,0,2,Churned,Extra data charges,Price
5889-JTMUL,Yes,1,3,Churned,Price too high,Price
9026-RNUJS,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
1624-NALOJ,No,0,1,Churned,Moved,Other
6210-KBBPI,No,0,1,Churned,Competitor had better devices,Competitor
2260-USTRB,No,0,1,Churned,Competitor offered more data,Competitor
8623-TMRBY,Yes,2,2,Churned,Competitor offered more data,Competitor
6900-PXRMS,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
3346-BRMIS,Yes,1,2,Churned,Service dissatisfaction,Dissatisfaction
2722-JMONI,Yes,1,1,Churned,Limited range of services,Dissatisfaction
7579-OOPEC,Yes,1,1,Churned,Competitor had better devices,Competitor
1771-OADNZ,Yes,1,3,Churned,Extra data charges,Price
0612-RTZZA,No,0,2,Churned,Price too high,Price
4433-JCGCG,Yes,1,1,Churned,Competitor made better offer,Competitor
9488-HGMJH,No,0,3,Churned,Competitor made better offer,Competitor
4818-QIUFN,No,0,1,Churned,Attitude of support person,Attitude
6961-VCPMC,Yes,1,3,Churned,Competitor offered more data,Competitor
4424-TKOPW,No,0,1,Churned,Lack of affordable download/upload speed,Price
4201-JMNGR,No,0,1,Churned,Service dissatisfaction,Dissatisfaction
1866-RZZQS,No,0,1,Churned,Competitor had better devices,Competitor
8631-NBHFZ,Yes,1,1,Churned,Competitor offered higher download speeds,Competitor
4958-XCBDQ,No,0,3,Churned,Competitor offered more data,Competitor
8337-UPOAQ,No,0,2,Churned,Competitor made better offer,Competitor
6712-OAWRH,No,0,3,Churned,Attitude of support person,Attitude
5914-DVBWJ,No,0,1,Churned,Competitor offered more data,Competitor
8644-XLFBW,No,0,2,Churned,Competitor offered more data,Competitor
1833-VGRUM,No,0,2,Churned,Price too high,Price
8374-XGEJJ,Yes,8,1,Churned,Product dissatisfaction,Dissatisfaction
6946-LMSQS,Yes,3,1,Churned,Competitor made better offer,Competitor
4039-HEUNW,Yes,1,3,Churned,Lack of affordable download/upload speed,Price
0812-WUPTB,Yes,1,2,Churned,Long distance charges,Price
2403-BCASL,Yes,1,2,Churned,Don't know,Other
3871-IKPYH,No,0,3,Churned,Moved,Other
1304-NECVQ,No,0,2,Churned,Competitor made better offer,Competitor
5655-JSMZM,No,0,2,Churned,Attitude of support person,Attitude
4505-EXZHB,No,0,1,Churned,Competitor offered more data,Competitor
8972-HJWNV,Yes,1,1,Churned,Competitor made better offer,Competitor
2860-RANUS,No,0,1,Churned,Price too high,Price
0406-BPDVR,No,0,2,Churned,Lack of affordable download/upload speed,Price
5276-KQWHG,No,0,3,Churned,Extra data charges,Price
9667-EQRXU,No,0,2,Churned,Don't know,Other
0946-CLJTI,Yes,1,1,Churned,Competitor had better devices,Competitor
0324-BRPCJ,Yes,1,1,Churned,Competitor offered more data,Competitor
9189-JWSHV,Yes,1,2,Churned,Price too high,Price
0576-WNXXC,Yes,1,1,Churned,Service dissatisfaction,Dissatisfaction
5482-PLVPE,No,0,1,Churned,Competitor had better devices,Competitor
4902-OHLSK,No,0,1,Churned,Attitude of support person,Attitude
0495-ZBNGW,Yes,1,2,Churned,Competitor offered more data,Competitor
2357-COQEK,No,0,2,Churned,Competitor made better offer,Competitor
2034-CGRHZ,No,0,3,Churned,Attitude of support person,Attitude
9360-AHGNL,Yes,7,2,Churned,Limited range of services,Dissatisfaction
5485-WUYWF,No,0,1,Churned,Long distance charges,Price
2632-UCGVD,Yes,6,2,Churned,Extra data charges,Price
6425-YQLLO,Yes,1,2,Churned,Don't know,Other
2091-RFFBA,No,0,1,Churned,Attitude of support person,Attitude
6899-PPEEA,No,0,2,Churned,Attitude of service provider,Attitude
4597-NUCQV,No,0,3,Churned,Attitude of support person,Attitude
3754-DXMRT,No,0,2,Churned,Attitude of support person,Attitude
7130-VTEWQ,No,0,3,Churned,Competitor offered more data,Competitor
7903-CMPEY,Yes,1,1,Churned,Competitor had better devices,Competitor
1704-NRWYE,No,0,2,Churned,Attitude of support person,Attitude
7481-ATQQS,No,0,2,Churned,Attitude of support person,Attitude
0023-HGHWL,No,0,3,Churned,Competitor made better offer,Competitor
1792-UXAFY,No,0,1,Churned,Service dissatisfaction,Dissatisfaction
6161-UUUTA,No,0,2,Churned,Price too high,Price
6543-XRMYR,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
2479-BRAMR,Yes,1,1,Churned,Competitor offered more data,Competitor
3714-JTVOV,Yes,1,1,Churned,Attitude of support person,Attitude
8580-QVLOC,No,0,1,Churned,Competitor made better offer,Competitor
2012-NWRPA,Yes,1,3,Churned,Competitor made better offer,Competitor
8808-ELEHO,No,0,1,Churned,Price too high,Price
9058-CBREO,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
8063-GBATB,No,0,1,Churned,Competitor had better devices,Competitor
1069-XAIEM,No,0,1,Churned,Competitor had better devices,Competitor
6987-XQSJT,No,0,1,Churned,Attitude of support person,Attitude
0722-TROQR,No,0,1,Churned,Lack of affordable download/upload speed,Price
6402-ZFPPI,No,0,1,Churned,Price too high,Price
9965-YOKZB,No,0,1,Churned,Network reliability,Dissatisfaction
0504-HHAPI,No,0,3,Churned,Don't know,Other
3791-LGQCY,Yes,1,1,Churned,Attitude of support person,Attitude
8166-ZZTFS,Yes,1,3,Churned,Attitude of support person,Attitude
2956-GGUCQ,Yes,1,1,Churned,Attitude of service provider,Attitude
2778-OCLGR,Yes,1,1,Churned,Competitor had better devices,Competitor
7067-KSAZT,Yes,1,1,Churned,Competitor made better offer,Competitor
9300-AGZNL,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
1112-CUNAO,No,0,2,Churned,Service dissatisfaction,Dissatisfaction
3389-YGYAI,No,0,3,Churned,Price too high,Price
3070-DVEYC,No,0,2,Churned,Attitude of support person,Attitude
5707-ORNDZ,No,0,1,Churned,Network reliability,Dissatisfaction
8696-JKZNU,No,0,3,Churned,Don't know,Other
2055-PDADH,No,0,3,Churned,Don't know,Other
2302-ANTDP,Yes,9,1,Churned,Competitor offered more data,Competitor
5233-GEEAX,No,0,1,Churned,Competitor had better devices,Competitor
7137-RYLPP,Yes,1,2,Churned,Competitor offered higher download speeds,Competitor
3957-LXOLK,No,0,1,Churned,Competitor offered more data,Competitor
5281-BUZGT,No,0,1,Churned,Competitor made better offer,Competitor
2718-GAXQD,Yes,1,1,Churned,Competitor made better offer,Competitor
3217-FZDMN,No,0,1,Churned,Competitor had better devices,Competitor
7480-QNVZJ,No,0,3,Churned,Network reliability,Dissatisfaction
7124-UGSUR,Yes,1,1,Churned,Competitor had better devices,Competitor
1862-SKORY,Yes,1,3,Churned,Competitor offered higher download speeds,Competitor
4816-JBHOV,No,0,1,Churned,Competitor offered more data,Competitor
3247-ZVOUO,No,0,1,Churned,Attitude of support person,Attitude
1268-ASBGA,Yes,1,2,Churned,Limited range of services,Dissatisfaction
4713-LZDRV,No,0,3,Churned,Long distance charges,Price
4325-NFSKC,No,0,1,Churned,Extra data charges,Price
6502-HCJTI,No,0,1,Churned,Attitude of service provider,Attitude
8258-GSTJK,No,0,1,Churned,Competitor had better devices,Competitor
2995-UPRYS,Yes,1,3,Churned,Moved,Other
6686-YPGHK,No,0,3,Churned,Moved,Other
8020-BWHYL,No,0,3,Churned,Competitor offered more data,Competitor
6892-XPFPU,Yes,3,1,Churned,Competitor offered higher download speeds,Competitor
8010-EZLOU,No,0,1,Churned,Competitor offered higher download speeds,Competitor
8062-YBDOE,No,0,2,Churned,Don't know,Other
3672-YITQD,Yes,1,1,Churned,Competitor made better offer,Competitor
8988-ECPJR,Yes,1,1,Churned,Product dissatisfaction,Dissatisfaction
3776-EKTKM,No,0,3,Churned,Service dissatisfaction,Dissatisfaction
0643-OKLRP,Yes,1,1,Churned,Network reliability,Dissatisfaction
9381-NDKME,Yes,1,1,Churned,Limited range of services,Dissatisfaction
8327-LZKAS,Yes,1,2,Churned,Service dissatisfaction,Dissatisfaction
1075-BGWOH,Yes,1,2,Churned,Attitude of support person,Attitude
8485-GJCDN,No,0,3,Churned,Competitor made better offer,Competitor
6029-WTIPC,No,0,1,Churned,Competitor made better offer,Competitor
3317-HRTNN,No,0,3,Churned,Competitor made better offer,Competitor
5569-OUICF,Yes,1,3,Churned,Competitor made better offer,Competitor
5747-PMBSQ,Yes,1,1,Churned,Competitor made better offer,Competitor
2982-IHMFT,No,0,3,Churned,Competitor made better offer,Competitor
5143-EGQFK,No,0,2,Churned,Don't know,Other
6168-WFVVF,No,0,3,Churned,Competitor made better offer,Competitor
7450-NWRTR,No,0,3,Churned,Competitor made better offer,Competitor
6005-OBZPH,No,0,1,Churned,Don't know,Other
7932-WPTDS,Yes,1,1,Churned,Competitor made better offer,Competitor
7000-WCEVQ,No,0,1,Churned,Long distance charges,Price
5959-BELXA,No,0,2,Churned,Price too high,Price
2506-TNFCO,Yes,1,2,Churned,Network reliability,Dissatisfaction
6060-DRTNL,No,0,1,Churned,Competitor had better devices,Competitor
8473-VUVJN,No,0,3,Churned,Attitude of service provider,Attitude
0196-VULGZ,Yes,1,3,Churned,Deceased,Other
1976-CFOCS,Yes,1,1,Churned,Competitor had better devices,Competitor
4631-OACRM,No,0,1,Churned,Competitor offered higher download speeds,Competitor
3755-JBMNH,Yes,1,1,Churned,Competitor offered more data,Competitor
6345-ULYRW,Yes,1,3,Churned,Competitor made better offer,Competitor
0013-EXCHZ,Yes,3,1,Churned,Network reliability,Dissatisfaction
5550-VFRLC,No,0,1,Churned,Limited range of services,Dissatisfaction
2657-ALMWY,Yes,1,3,Churned,Price too high,Price
6284-AHOOQ,No,0,1,Churned,Don't know,Other
2460-FPSYH,No,0,1,Churned,Attitude of support person,Attitude
5028-HTLJB,No,0,1,Churned,Long distance charges,Price
0875-CABNR,No,0,3,Churned,Attitude of support person,Attitude
6982-UQZLY,Yes,1,3,Churned,Attitude of support person,Attitude
0193-ESZXP,Yes,1,1,Churned,Attitude of support person,Attitude
4369-HTUIF,No,0,2,Churned,Attitude of service provider,Attitude
5287-QWLKY,Yes,1,1,Churned,Attitude of support person,Attitude
1891-UAWWU,Yes,1,1,Churned,Competitor had better devices,Competitor
3096-JRDSO,Yes,5,1,Churned,Competitor made better offer,Competitor
2398-YPMUR,Yes,2,2,Churned,Poor expertise of online support,Other
1265-XTECC,Yes,5,1,Churned,Attitude of service provider,Attitude
4871-JTKJF,No,0,3,Churned,Attitude of service provider,Attitude
1415-YFWLT,No,0,1,Churned,Competitor had better devices,Competitor
3500-RMZLT,No,0,1,Churned,Attitude of support person,Attitude
2642-DTVCO,No,0,3,Churned,Attitude of service provider,Attitude
1363-TXLSL,No,0,1,Churned,Competitor had better devices,Competitor
7136-RVDTZ,No,0,2,Churned,Attitude of service provider,Attitude
6927-WTFIV,No,0,2,Churned,Attitude of service provider,Attitude
3398-ZOUAA,Yes,1,2,Churned,Attitude of support person,Attitude
4844-JJWUY,No,0,1,Churned,Competitor made better offer,Competitor
4785-QRJHC,Yes,1,3,Churned,Competitor offered higher download speeds,Competitor
1965-AKTSX,No,0,1,Churned,Competitor made better offer,Competitor
7248-VZQLC,No,0,1,Churned,Price too high,Price
0011-IGKFF,Yes,1,1,Churned,Product dissatisfaction,Dissatisfaction
6496-SLWHQ,No,0,3,Churned,Attitude of support person,Attitude
9912-GVSEQ,Yes,1,2,Churned,Network reliability,Dissatisfaction
5383-MMTWC,Yes,1,3,Churned,Limited range of services,Dissatisfaction
6877-LGWXO,Yes,1,3,Churned,Attitude of support person,Attitude
5167-GBFRE,No,0,3,Churned,Poor expertise of online support,Other
1324-NLTJE,No,0,1,Churned,Don't know,Other
5567-WSELE,Yes,1,1,Churned,Competitor had better devices,Competitor
6646-VRFOL,Yes,1,1,Churned,Competitor had better devices,Competitor
9090-SGQXL,Yes,1,3,Churned,Competitor offered more data,Competitor
6595-YGXIT,No,0,2,Churned,Competitor made better offer,Competitor
9835-ZIITK,Yes,1,1,Churned,Competitor made better offer,Competitor
5649-TJHOV,Yes,1,1,Churned,Product dissatisfaction,Dissatisfaction
9253-QXKBE,Yes,1,1,Churned,Competitor had better devices,Competitor
8775-LHDJH,Yes,1,2,Churned,Don't know,Other
3097-NQYSN,Yes,3,1,Churned,Competitor had better devices,Competitor
3565-UNOCC,Yes,1,1,Churned,Competitor offered higher download speeds,Competitor
9190-MFJLN,No,0,1,Churned,Competitor had better devices,Competitor
1095-JUDTC,No,0,2,Churned,Competitor offered higher download speeds,Competitor
5385-SUIRI,No,0,1,Churned,Competitor offered higher download speeds,Competitor
