Customer ID,Churn Label,Churn Score,CLTV
5268-DSMNQ,No,50,5428
6242-MBHPK,No,66,4025
4782-OSFXZ,No,20,5089
1282-IHQAC,No,68,4022
1641-RQDAY,No,59,4848
5461-QKNTN,No,63,2040
8089-UZWLX,No,70,4113
4468-KAZHE,No,37,2399
1543-LLLFT,No,74,5413
6507-ZJSUR,No,24,5272
9220-ZNKJI,No,73,4291
0723-VSOBE,No,38,5715
1004-NOZNR,No,59,5693
1251-STYSZ,No,20,3828
9681-KYGYB,No,24,5987
7005-CYUIL,No,29,4964
2388-LAESQ,No,26,4796
3108-PCCGG,No,25,5856
6729-GDNGC,No,73,3111
4238-HFHSN,No,33,4250
2692-BUCFV,No,76,5285
5651-WYIPH,No,71,3283
8752-GHJFU,No,66,4322
6896-SRVYQ,No,48,4374
9052-VKDUW,No,39,4452
2480-EJWYP,No,23,6019
6806-YDEUL,No,77,3288
0222-CNVPT,No,67,4865
6048-UWKAL,No,45,5467
9290-SHCMB,No,28,3098
2277-BKJKN,No,23,4951
8016-ZMGMO,No,37,5572
1728-CXQBE,No,63,6020
0481-SUMCB,No,69,5391
2811-POVEX,No,70,3937
7905-NJMXS,No,74,5116
9957-YODKZ,No,68,5611
3223-DWFIO,No,26,4140
3292-PBZEJ,No,28,3175
0993-OSGPT,No,24,6418
7108-DGVUU,No,38,2784
9906-NHHVC,No,76,5693
8152-UOBNY,No,59,5746
7351-KYHQH,No,37,4615
6374-NTQLP,No,54,5092
6267-DCFFZ,No,39,3792
2439-LYPMQ,No,40,5469
7426-WEIJX,No,71,6214
3761-FLYZI,No,64,5225
1060-ENTOF,No,64,5703
0999-QXNSA,No,57,3779
9365-SRSZE,No,65,2534
4918-FYJNT,No,42,5140
4854-CIDCF,No,74,2868
3280-MRDOF,No,75,3415
6407-UTSLV,No,53,2885
5935-FCCNB,No,54,4425
9705-IOVQQ,No,20,5177
1320-REHCS,No,46,4993
2057-BOYKM,No,78,5153
0134-XWXCE,No,71,3253
2307-FYNNL,No,29,5692
5605-XNWEN,No,69,4055
2519-LBNQL,No,73,4040
8623-ULFNQ,No,43,3225
7789-HKSBS,No,36,5573
2070-XYMFH,No,50,3558
5663-QBGIS,No,73,6120
3402-XRIUO,No,36,2136
8058-DMYRU,No,23,5232
3537-RYBHH,No,67,4074
0523-VNGTF,No,70,5185
7105-MXJLL,No,68,2502
7064-FRRSW,No,78,3061
1636-NTNCO,No,33,2104
3219-JQRSL,No,39,4627
1845-CSBRZ,No,49,2656
3723-BFBGR,No,25,4330
5692-ICXLW,No,60,3493
7020-OZKXZ,No,30,3021
0308-GIQJT,No,54,4921
8775-ERLNB,No,47,2968
8309-IEYJD,No,25,2576
7361-YPXFS,No,37,3820
6557-BZXLQ,No,63,5610
4832-VRBMR,No,51,6441
7901-TBKJX,No,65,5514
9919-FZDED,No,63,4671
7206-PQBBZ,No,29,2848
4079-VTGLK,No,27,5610
2931-VUVJN,No,30,5061
2878-RMWXY,No,66,4680
7375-WMVMT,No,80,6412
7622-FWGEW,No,70,6500
0380-NEAVX,No,71,5626
8495-LJDFO,No,26,5780
1302-UHBDD,No,33,4812
3597-YASZG,No,27,5004
3420-ZDBMA,No,36,5171
3398-GCPMU,No,25,4993
1013-QCWAM,No,32,5469
0336-PIKEI,No,58,5590
7322-OCWHC,No,39,4988
5732-IKGQH,No,78,5490
0093-EXYQL,No,59,5742
9168-INPSZ,No,32,2944
0015-UOCOJ,No,34,5525
5334-AFQJB,No,74,5751
2754-SDJRD,No,42,5157
1465-LNTLJ,No,78,4537
4706-DGAHW,No,44,4576
8552-OBVRU,No,71,3847
9776-OJUZI,No,62,4168
0869-PAPRP,No,23,3935
4238-JSSWH,No,35,3199
9121-PHQSR,No,80,3739
9796-MVYXX,No,47,3162
7268-IGMFD,No,47,3728
0013-SMEOE,No,26,5011
2573-GYRUU,No,60,3594
6486-LHTMA,No,34,2364
4083-BFNYK,No,71,5148
1089-HDMKP,No,40,4143
0141-YEAYS,No,77,5990
9603-OAIHC,No,51,2469
8406-LNMHF,No,61,5295
0023-UYUPN,No,61,4015
6360-SVNWV,No,39,2057
9050-IKDZA,No,59,4267
1197-BVMVG,No,50,4093
5198-EFNBM,No,23,5636
7516-GMHUV,No,40,5324
6614-YWYSC,No,78,6421
8735-SDUFN,No,55,4397
7016-NVRIC,No,55,3553
9825-YCXWZ,No,38,2227
2000-DHJUY,No,44,5264
9796-BPKIW,No,47,2939
9137-NOQKA,No,24,4577
7748-UMTRK,No,34,2440
6463-MVYRY,No,72,4759
4526-ZJJTM,No,51,4849
5315-CKEQK,No,44,5195
0907-HQNTS,No,47,4588
8250-ZNGGW,No,35,3662
8166-ORCHU,No,21,4414
1855-CFULU,No,20,3460
8628-MFKAX,No,68,5098
9508-ILZDG,No,32,5425
6128-AQBMT,No,46,3920
4295-YURET,No,79,6357
7693-QPEFS,No,72,4368
0924-BJCRC,No,44,4340
5533-NHFRF,No,77,3410
4360-QRAVE,No,72,2494
8433-WPJTV,No,75,5669
5387-ASZNZ,No,80,4657
2277-DJJDL,No,40,4763
6963-EZQEE,No,37,4097
2452-KDRRH,No,28,5269
5248-RPYWW,No,49,4606
7923-IYJWY,No,60,5896
1658-TJVOA,No,79,4716
0674-DGMAQ,No,77,5804
2761-XECQW,No,68,2560
8059-UDZFY,No,58,4738
7740-BTPUX,No,56,5754
8648-PFRMP,No,44,2056
8996-ZROXE,No,58,5521
2207-QPJED,No,62,4048
0516-QREYC,No,71,3740
3865-QBWSJ,No,41,2926
5857-TYBCJ,No,36,2925
4176-RELJR,No,26,6388
7924-GJZFI,No,50,4442
5897-ZYEKH,No,45,5768
5456-ITGIC,No,68,5295
8070-AAWZP,No,63,2525
6860-YRJZP,No,51,2003
9391-DXGGG,No,27,4368
9844-FELAJ,No,53,5899
8395-ETZKQ,No,51,5443
8336-TAVKX,No,71,4032
0581-BXBUB,No,50,4503
5150-ITWWB,No,40,4496
9281-OFDMF,No,39,5028
7636-OWBPG,No,27,3606
0549-CYCQN,No,59,4673
0928-JMXNP,No,46,2914
3629-ZNKXA,No,53,3296
4827-LTQRJ,No,67,5418
0136-IFMYD,No,63,4297
5144-TVGLP,No,71,3654
9659-ZTWSM,No,53,4138
2195-VVRJF,No,30,2422
1125-SNVCK,No,68,5651
2545-EBUPK,No,72,5039
2172-EJXVF,No,60,5479
8659-HDIYE,No,58,5113
4680-KUTAJ,No,80,5014
2883-ILGWO,No,75,5838
1167-OYZJF,No,76,4934
4806-DXQCE,No,46,6146
5996-NRVXR,No,53,4332
0100-DUVFC,No,57,5291
5397-TUPSH,No,30,4871
6773-LQTVT,No,46,4107
9402-ORRAH,No,41,4173
4840-ORQXB,No,35,5128
3982-DQLUS,No,21,4978
3756-VNWDH,No,66,4368
2921-XWDJH,No,49,2768
9799-CAYJJ,No,58,2901
6814-ZPWFQ,No,49,5896
5019-GQVCR,No,56,4556
2880-FPNAE,No,32,3170
1568-BEKZM,No,47,4666
2045-BMBTJ,No,30,3116
6741-EGCBI,No,53,5983
1730-ZMAME,No,24,3041
