Customer ID,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Offer,Tenure in Months
4208-UFFGW,Yes,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,2
9889-TMAHG,Yes,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,None,8
8919-FYFQZ,No,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,44
6646-QVXLR,Yes,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,None,62
9369-XFEHK,Yes,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,33
1374-DMZUI,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,4
1989-PRJHP,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,None,27
4822-RVYBB,Yes,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer E,8
4184-TJFAN,Yes,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Offer E,3
4145-UQXUQ,Yes,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer E,8
1236-WFCDV,Yes,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,14
1271-SJBGZ,No,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,None,12
4441-NIHPT,Yes,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,13
8999-BOHSE,Yes,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,11
7029-RPUAV,Yes,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,17
8111-SLLHI,Yes,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,39
5293-WXJAK,Yes,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,None,11
4086-YQSNZ,Yes,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,3
8399-YNDCH,Yes,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,None,21
5565-FILXA,Yes,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,16
4187-CINZD,Yes,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,None,46
6818-WOBHJ,Yes,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Offer A,68
9134-CEQMF,Yes,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer E,7
8519-IMDHU,Yes,Yes,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,None,15
3372-KWFBM,Yes,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,16
7206-GZCDC,Yes,No,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
1768-ZAIFU,No,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
3793-MMFUH,Yes,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,13
6567-HOOPW,Yes,No,Yes,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,1
8621-MNIHH,Yes,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,None,34
5419-CONWX,Yes,No,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,4
7024-OHCCK,Yes,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,2
5357-TZHPP,Yes,Yes,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,None,9
0506-LVNGN,Yes,No,Yes,Fiber Optic,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,5
9809-IMGCQ,Yes,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Offer D,22
3254-YRILK,Yes,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Offer D,19
0529-ONKER,Yes,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,15
5240-IJOQT,Yes,Yes,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
0661-XEYAN,No,No,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,None,1
2660-EMUBI,Yes,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer D,10
7675-OZCZG,Yes,No,Yes,DSL,6,No,No,No,No,No,No,No,No,Month-to-Month,None,3
9391-EOYLI,Yes,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Offer D,12
2761-OCIAX,Yes,No,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,2
3068-OMWZA,Yes,Yes,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,None,1
4154-AQUGT,Yes,No,Yes,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Offer D,13
8017-LXHFA,Yes,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer D,23
4248-QPAVC,Yes,Yes,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Offer D,17
4690-LLKUA,Yes,No,Yes,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,None,17
9490-DFPMD,Yes,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,42
8580-AECUZ,Yes,No,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,1
5047-LHVLY,Yes,No,Yes,Cable,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Offer E,1
8375-DKEBR,Yes,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
7279-BUYWN,Yes,Yes,Yes,Fiber Optic,23,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,41
7156-MHUGY,Yes,No,Yes,Fiber Optic,4,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,None,13
9606-PBKBQ,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,32
3536-IQCTX,Yes,Yes,Yes,Fiber Optic,10,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,32
3132-TVFDZ,No,No,Yes,Cable,3,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,57
8080-DDEMJ,Yes,No,Yes,Cable,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
6702-OHFWR,No,No,Yes,DSL,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Offer E,1
4510-PYUSH,Yes,No,Yes,DSL,27,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,None,38
8840-DQLGN,Yes,Yes,Yes,Cable,22,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,None,35
4193-ORFCL,Yes,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
7776-QWNFX,Yes,No,Yes,DSL,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,30
6689-TCZHQ,Yes,No,Yes,Fiber Optic,20,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Offer E,5
9497-QCMMS,Yes,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer E,1
3424-NMNBO,Yes,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,None,58
4514-GFCFI,Yes,Yes,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,16
8000-REIQB,Yes,No,Yes,Fiber Optic,27,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,1
4795-KTRTH,Yes,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,No,Month-to-Month,Offer E,5
9961-JBNMK,Yes,No,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,21
6179-GJPSO,Yes,No,Yes,Fiber Optic,10,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,None,43
8290-YWKHZ,Yes,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,32
8051-HJRLT,Yes,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
4021-RQSNY,Yes,Yes,Yes,Fiber Optic,28,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,None,29
9061-TIHDA,Yes,Yes,Yes,Cable,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,13
8699-ASUFO,Yes,Yes,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes,Month-to-Month,None,7
4695-WJZUE,Yes,Yes,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,None,2
3988-RQIXO,Yes,No,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,1
5931-FLJJF,Yes,No,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,None,7
3207-OYBWH,Yes,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,None,57
7216-EWTRS,Yes,Yes,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,1
2528-HFYZX,Yes,No,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,17
4140-MUHUG,Yes,No,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,None,3
1587-FKLZB,Yes,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer A,66
5440-FLBQG,Yes,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Offer A,69
2774-LVQUS,Yes,Yes,Yes,Fiber Optic,3,No,No,Yes,Yes,No,No,No,No,Month-to-Month,None,15
4612-THJBS,Yes,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,None,56
4094-NSEDU,Yes,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,21
1846-XWOQN,Yes,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
3757-NJYBX,Yes,Yes,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,32
9898-KZQDZ,Yes,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,40
8263-JQAIK,No,No,Yes,DSL,6,No,No,No,No,No,No,No,Yes,Month-to-Month,None,2
2205-YMZZJ,Yes,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,No,Month-to-Month,None,7
1254-IZEYF,Yes,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,None,31
9221-OTIVJ,Yes,Yes,Yes,Fiber Optic,7,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,14
5908-QMGOE,Yes,Yes,Yes,Fiber Optic,9,No,No,No,No,No,No,No,Yes,Month-to-Month,None,15
0397-GZBBC,Yes,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,59
7641-EUYET,Yes,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,None,46
8922-LIEGH,Yes,Yes,Yes,Fiber Optic,6,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,None,25
8245-UMPYT,Yes,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,16
5186-SAMNZ,Yes,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,No,Month-to-Month,None,1
5373-SFODM,Yes,Yes,Yes,Fiber Optic,5,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,36
0022-TCJCI,Yes,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,None,45
5130-IEKQT,Yes,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer C,25
3269-ATYWD,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Offer C,39
0354-WYROK,Yes,No,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Offer C,31
7576-OYWBN,Yes,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,None,3
5539-TMZLF,Yes,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
3336-JORSO,Yes,Yes,Yes,Fiber Optic,25,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Offer C,33
6861-XWTWQ,Yes,Yes,Yes,Fiber Optic,2,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,7
4283-FUTGF,Yes,Yes,Yes,Fiber Optic,15,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,19
2397-BRLOM,Yes,No,Yes,Fiber Optic,2,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,8
8510-AWCXC,Yes,Yes,Yes,Fiber Optic,28,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer D,13
8225-BTJAU,Yes,No,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Offer D,10
1724-BQUHA,Yes,No,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,5
4826-XTSOH,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,1
2408-WITXK,No,No,Yes,DSL,4,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Offer D,10
2634-HCZGT,Yes,Yes,Yes,Cable,6,Yes,No,No,Yes,No,No,No,No,One Year,None,53
7503-QQRVF,Yes,No,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer D,16
0709-TVGUR,Yes,Yes,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,None,9
3001-CBHLQ,Yes,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Offer C,32
4102-OQUPX,Yes,Yes,Yes,Fiber Optic,29,No,No,No,No,No,No,No,No,Month-to-Month,None,1
3999-QGRJH,Yes,No,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,None,8
2454-RPBRZ,Yes,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Offer D,12
2265-CYWIV,Yes,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,4
4550-VBOFE,Yes,Yes,Yes,Fiber Optic,20,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,70
7409-KIUTL,Yes,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
1732-VHUBQ,Yes,No,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes,Month-to-Month,None,47
0679-IDSTG,Yes,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
8802-UNOJF,Yes,No,Yes,Cable,7,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Offer D,12
6313-GIDIT,No,No,Yes,DSL,25,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,53
2845-AFFTX,Yes,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,41
2815-CPTUL,Yes,No,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes,Month-to-Month,None,5
1891-FZYSA,Yes,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,No,No,No,Month-to-Month,None,69
9685-WKZGT,Yes,Yes,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,14
6022-UGGSO,Yes,No,Yes,Fiber Optic,9,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer C,32
3923-CSIHK,Yes,No,Yes,Cable,24,No,No,No,No,No,No,No,Yes,Month-to-Month,None,50
3677-IYRBF,No,No,Yes,DSL,13,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,2
8118-LSUEL,Yes,Yes,Yes,Fiber Optic,29,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,None,23
5277-ZLOOR,Yes,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,2
4248-HCETZ,Yes,No,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Offer C,30
9174-FKWZE,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,1
5307-DZCVC,Yes,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer C,32
8679-JOEVF,Yes,No,Yes,DSL,16,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,None,16
4803-AXVYP,Yes,Yes,Yes,Fiber Optic,2,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Offer C,38
5649-ANRML,Yes,No,Yes,Fiber Optic,20,No,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Offer E,2
7395-IGJOS,Yes,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,No,Yes,Month-to-Month,None,17
7890-VYYWG,No,No,Yes,DSL,20,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,3
9907-SWKKF,No,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
6397-JNZZG,No,No,Yes,DSL,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer B,43
7779-LGOVN,Yes,Yes,Yes,Cable,4,No,No,No,No,No,Yes,No,Yes,Month-to-Month,None,10
9710-ZUSHQ,Yes,Yes,Yes,Fiber Optic,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer C,37
3902-FOIGH,Yes,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,None,12
3318-OSATS,Yes,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Offer C,35
2636-ALXXZ,Yes,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
9885-CSMWE,Yes,No,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,1
8058-JMEQO,Yes,Yes,Yes,Fiber Optic,21,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Offer E,9
7657-DYEPJ,Yes,No,Yes,Cable,30,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Offer C,38
