Customer ID,Monthly Charge,Total Charges,Total Revenue,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Payment Method,Paperless Billing
5914-DVBWJ,85.45,1505.85,1548.33,0.0,0,42.48,Bank Withdrawal,Yes
8644-XLFBW,71.65,71.65,100.11,0.0,0,28.46,Bank Withdrawal,Yes
1833-VGRUM,74.2,74.2,123.15,0.0,0,48.95,Bank Withdrawal,Yes
8374-XGEJJ,101.0,4388.4,5882.15,0.0,150,1343.75,Bank Withdrawal,Yes
6946-LMSQS,89.05,2177.45,3018.2,0.0,0,840.75,Bank Withdrawal,Yes
4039-HEUNW,96.5,3436.1,4034.06,0.0,0,597.96,Bank Withdrawal,Yes
0812-WUPTB,70.85,70.85,120.45,0.0,0,49.6,Credit Card,No
2403-BCASL,111.95,4534.9,6381.54,0.0,0,1846.64,Bank Withdrawal,Yes
3871-IKPYH,69.1,69.1,85.29,0.0,0,16.19,Bank Withdrawal,No
1304-NECVQ,78.55,149.55,237.47,0.0,0,87.92,Bank Withdrawal,Yes
5655-JSMZM,96.2,4718.25,6303.89,0.0,0,1585.64,Bank Withdrawal,Yes
4505-EXZHB,74.4,434.1,507.56,0.0,20,53.46,Bank Withdrawal,No
8972-HJWNV,84.55,646.85,796.86,0.0,0,150.01,Bank Withdrawal,Yes
2860-RANUS,85.8,1727.5,2313.3,0.0,0,585.8,Credit Card,Yes
0406-BPDVR,101.5,5373.1,7181.56,0.0,0,1808.46,Credit Card,Yes
5276-KQWHG,69.6,131.65,162.29,0.0,0,30.64,Bank Withdrawal,Yes
9667-EQRXU,40.3,1172.95,1272.95,0.0,100,0.0,Bank Withdrawal,Yes
0946-CLJTI,98.7,5812.6,5997.04,0.0,0,184.44,Bank Withdrawal,Yes
0324-BRPCJ,100.2,6851.65,8302.09,0.0,0,1450.44,Bank Withdrawal,Yes
9189-JWSHV,93.55,2264.05,2585.17,0.0,0,321.12,Bank Withdrawal,Yes
0576-WNXXC,95.55,2510.2,3576.43,0.0,0,1066.23,Bank Withdrawal,Yes
5482-PLVPE,24.35,41.85,41.85,0.0,0,0.0,Bank Withdrawal,No
4902-OHLSK,98.65,2862.75,3471.17,0.0,0,608.42,Bank Withdrawal,No
0495-ZBNGW,79.9,343.95,397.25,0.0,20,33.3,Bank Withdrawal,Yes
2357-COQEK,103.3,2890.65,3678.57,0.0,0,787.92,Bank Withdrawal,Yes
2034-CGRHZ,102.95,2496.7,2574.22,0.0,0,77.52,Credit Card,Yes
9360-AHGNL,109.55,4830.25,5206.5,0.0,0,376.25,Credit Card,Yes
5485-WUYWF,66.4,94.55,105.69,0.0,0,11.14,Bank Withdrawal,No
2632-UCGVD,100.05,6871.9,10162.0,0.0,0,3290.1,Credit Card,Yes
6425-YQLLO,105.95,6975.25,8806.75,0.0,0,1831.5,Credit Card,Yes
2091-RFFBA,73.9,2217.15,2695.48,0.0,0,478.33,Bank Withdrawal,Yes
6899-PPEEA,96.55,3580.3,3702.4,0.0,0,122.1,Bank Withdrawal,Yes
4597-NUCQV,101.25,2440.15,3135.67,0.0,0,695.52,Bank Withdrawal,Yes
3754-DXMRT,44.15,92.65,179.97,0.0,0,87.32,Bank Withdrawal,Yes
7130-VTEWQ,75.75,606.25,716.65,0.0,0,110.4,Bank Withdrawal,Yes
7903-CMPEY,80.3,80.3,97.81,0.0,0,17.51,Bank Withdrawal,Yes
1704-NRWYE,80.85,751.65,1141.71,0.0,0,390.06,Bank Withdrawal,Yes
7481-ATQQS,90.85,4515.85,6714.97,0.0,0,2199.12,Credit Card,Yes
0023-HGHWL,25.1,25.1,25.1,0.0,0,0.0,Bank Withdrawal,Yes
1792-UXAFY,89.15,1496.9,2013.19,0.0,0,516.29,Bank Withdrawal,Yes
6161-UUUTA,79.9,260.9,269.84,0.0,0,8.94,Bank Withdrawal,Yes
6543-XRMYR,99.7,2967.35,4355.65,0.0,80,1308.3,Bank Withdrawal,Yes
2479-BRAMR,83.75,3273.55,5152.99,0.0,0,1879.44,Bank Withdrawal,Yes
3714-JTVOV,74.15,3229.4,3351.2,0.0,0,121.8,Credit Card,Yes
8580-QVLOC,92.45,6440.25,8295.69,0.0,0,1855.44,Credit Card,No
2012-NWRPA,99.55,1131.2,1145.28,0.0,0,14.08,Bank Withdrawal,Yes
8808-ELEHO,81.25,585.95,626.11,0.0,0,40.16,Bank Withdrawal,Yes
9058-CBREO,50.55,50.55,73.11,0.0,0,22.56,Credit Card,No
8063-GBATB,85.25,2287.25,3128.84,0.0,0,841.59,Bank Withdrawal,Yes
1069-XAIEM,85.05,85.05,101.42,0.0,0,16.37,Bank Withdrawal,Yes
6987-XQSJT,79.5,4370.25,6841.83,0.0,0,2471.58,Bank Withdrawal,Yes
0722-TROQR,74.9,321.75,426.67,0.0,0,104.92,Bank Withdrawal,Yes
6402-ZFPPI,102.8,2660.2,3572.7,0.0,0,912.5,Credit Card,Yes
9965-YOKZB,83.85,790.15,880.51,0.0,0,90.36,Bank Withdrawal,Yes
0504-HHAPI,88.3,2467.75,2925.13,0.0,0,457.38,Credit Card,No
